Company Name,Title,Description,Location,Started On,Finished On
Grupo Belfort,Analista de Tecnologia da Informação Pleno,"Atuação híbrida entre desenvolvimento e sustentação de sistemas internos do grupo. • Desenvolvimento de aplicações web e APIs utilizando Node.js, Next.js e PostgreSQL • Administração e otimização de bancos de dados SQL Server e PostgreSQL • Containerização de serviços com Docker para ambientes de desenvolvimento e homologação • Automação de rotinas internas e integrações entre sistemas • Suporte técnico a usuários e infraestrutura Principais tecnologias: Node.js, Next.js, PostgreSQL, SQL Server, Docker, Git, C#","São Paulo, São Paulo",Mar 2019,
Grupo Belfort,Analista de Suporte Junior,,São Paulo e Região,Oct 2018,
Grupo Belfort,Analista de Suporte I,,São Paulo e Região,Jan 2017,Sep 2018
Grupo Belfort,Assistente Administrativo II,,"São Paulo e Região, Brasil",Jan 2015,Dec 2016
Grupo Belfort,Assistente de Tecnologia I,,"São Paulo e Região, Brasil",Jan 2014,Dec 2014
Grupo Belfort,Assistente Administrativo,,"São Paulo e Região, Brasil",Sep 2011,Dec 2013
Grupo Belfort,Auxiliar Administrativo,,"São Paulo e Região, Brasil",Mar 2010,Aug 2011
Grupo Belfort,Aprendiz de Auxiliar Administrativo,,"São Paulo e Região, Brasil",Jan 2008,Jan 2010
